PROFILE_DEVICE_OS,PRODUCT_GROUP_TARIFF,FILIAL_ID,NETWORK_SQI_DATA,NETWORK_OVERLOAD,SNAP_DATE_DAY,NETWORK_PROSTOI,SURVEY_GENDER,NETWORK_DURATION_2G,PRODUCT_PEREPLATY,NETWORK_4G_SHARE,PRODUCT_NAME_LINE_TP,NETWORK_DURATION_4G,REGION_FILIAL,NPS,SURVEY_ARPU_GROUP,NETWORK_VOLTE,PROFILE_DEVICE_TYPE,PROFILE_KINOPOISK,PRODUCT_EVA_TYPE,PROFILE_DEVICE_PRICE,NETWORK_VOWIFI,SURVEY_CITY_SIZE,SURVEY_OPERATOR_AGE_GROUP,SURVEY_AGE_GROUP,NETWORK_SQI_VOICE,PRODUCT_TARIFF_CHANGE,NETWORK_SPEED_LTE,NETWORK_SPD_LOWER_THAN_2000
Android,Агентский конвергент,4,Прочее,Нет,2024-07-15,5-24 часа,Муж,5...20%,Более 40 руб,b. <80%,Умные устройства,Более 80%,Кавказский филиал,-0.5894086797016334,Низкий,Не VoLTE,TABLET,До 100MB,Ева МЛК,25-50 тыс. руб.,Есть,Средний,55+,25-34,Прочее,181-366 дней,Прочее,Прочее
iOS,СНГ,1,<98%,Нет,2023-12-09,Риск простоя,Муж,5...20%,Более 40 руб,d. >90%,Без переплат - Линейка 2.0,Более 80%,Поволжский филиал,0.39126873291005965,Средний,До 80%,UNDEFINED,Нет,Ева Volte,До 10 тыс. руб.,Есть,Малый,55+,55+,<98%,91-180 дней,Прочее,20...80%
iOS,Сэмплинг,18,>99.5%,Нет,2024-11-22,Более 24 часов,Не определен,Более 20%,Нет переплат,d. >90%,Включайся! - Линейка 3.4 - Прочие ТП,Более 80%,Центральный филиал,-0.3200288766649921,Высокий,Не VoLTE,LAPTOP,100MB - 1GB,Ева+,Нет данных,Нет,Малый,55+,55+,Прочее,31-90 дней,<2 Mbps,Более 80%
Android,Все включено,12,98...99.5%,До 15 дней,2023-05-13,5-24 часа,Муж,Более 20%,Более 40 руб,a. <100 MB,Включайся! - Линейка 3.1,Прочее,Дальневосточный филиал,0.09286883336287194,Средний,Не VoLTE,LAPTOP,До 100MB,Ева МЛК,Нет данных,Есть,Большой,18-24,55+,>99.5%,181-366 дней,>10 Mbps,Менее 20%
Android,Все включено,10,<98%,Нет,2024-01-15,Нет простоя,Жен,Прочее,Более 40 руб,b. <80%,CVM: Персональный 3.0,Прочее,Уральский филиал,-0.6046528706780523,Средний,Более 80%,DATA CARD,До 100MB,Ева+,10-25 тыс. руб.,Нет,Средний,35-44,55,>99.5%,91-180 дней,<2 Mbps,20...80%
Прочее,Сэмплинг,8,Прочее,До 15 дней,2023-02-28,Риск простоя,Жен,Менее 5%,Нет переплат,a. <100 MB,Управляй! 3.0,Прочее,Поволжский филиал,-0.2000780003260889,Средний,Не VoLTE,ROUTER,Более 1GB,Ева Volte,Нет данных,Есть,Малый,35-44,55+,Прочее,Прочее,Прочее,Более 80%
iOS,Прочие,3,<98%,Более 15 дней,2024-08-20,1-5 часов,Муж,Прочее,До 40 руб,a. <100 MB,B2B пакеты Lego,Прочее,Столичный филиал,-0.39088943205082677,Высокий,Не VoLTE,UNDEFINED,До 100MB,Ева МЛК,25-50 тыс. руб.,Нет,Малый,35-44,55+,<98%,31-90 дней,5...10 Mbps,Более 80%
Прочее,Внутрисетевые,7,<98%,Более 15 дней,2023-03-14,Риск простоя,Не определен,Более 20%,До 40 руб,d. >90%,Тёплый приём - линейка 3.0,Более 80%,Северо-Западный филиал,0.03692132082561123,Средний,Более 80%,SMARTPHONE,До 100MB,Ева МЛК,Нет данных,Нет,Средний,45-54,55+,>99.5%,91-180 дней,2...5 Mbps,20...80%
Android,Все мобильные,11,98...99.5%,Более 15 дней,2024-06-28,5-24 часа,Муж,Более 20%,До 40 руб,b. <80%,Тёплый приём - линейка 3.1,Менее 80%,Дальневосточный филиал,-0.09241854175365663,Средний,До 80%,ROUTER,Нет,Ева Volte,Более 50 тыс. руб,Есть,Средний,35-44,18-24,>99.5%,91-180 дней,5...10 Mbps,20...80%
Android,Прочие,7,<98%,До 15 дней,2023-04-29,Риск простоя,Муж,5...20%,Более 40 руб,d. >90%,Мегафон – Линейка 4.0,Более 80%,Поволжский филиал,-0.09796292042013177,Средний,Не VoLTE,SMART WATCH,Более 1GB,Ева+,До 10 тыс. руб.,Есть,Малый,55+,18-24,98..99.5%,До 30 дней,2...5 Mbps,Прочее
Прочее,Агентский конвергент,7,Прочее,До 15 дней,2024-01-08,Нет простоя,Муж,Менее 5%,Более 40 руб,d. >90%,Тёплый приём - линейка 5.0,Более 80%,Уральский филиал,-1.0,Средний,Не VoLTE,ROUTER,Нет,Ева Volte,10-25 тыс. руб.,Нет,Большой,35-44,45-54,Прочее,Более 366 дней,2...5 Mbps,Более 80%
iOS,СНГ,9,>99.5%,Более 15 дней,2024-01-18,5-24 часа,Муж,5...20%,До 40 руб,c. 80-90%,CVM,Прочее,Сибирский филиал,0.1076524063743654,Средний,Более 80%,DATA CARD,Более 1GB,Ева Volte,Нет данных,Нет,Малый,55+,18-24,>99.5%,181-366 дней,5...10 Mbps,Более 80%
Прочее,Агентский конвергент,3,>99.5%,Нет,2023-01-09,5-24 часа,Жен,Прочее,Нет переплат,b. <80%,LEGO_Включайся!;Тёплый приём Lego,Прочее,Центральный филиал,-0.24803274652948865,Высокий,Более 80%,ROUTER,Более 1GB,Ева Volte,25-50 тыс. руб.,Есть,Малый,55+,55+,<98%,181-366 дней,<2 Mbps,Менее 20%
Android,Все мобильные,11,98...99.5%,До 15 дней,2023-06-03,1-5 часов,Жен,5...20%,До 40 руб,c. 80-90%,CVM,Менее 80%,Дальневосточный филиал,-0.08115356805199356,Высокий,Не VoLTE,SMARTPHONE,Нет,Ева Volte,До 10 тыс. руб.,Есть,Малый,45-54,55+,>99.5%,Более 366 дней,<2 Mbps,Менее 20%
Android,Все мобильные,17,98...99.5%,До 15 дней,2023-02-24,1-5 часов,Не определен,Прочее,До 40 руб,b. <80%,Агентская линейка 2021,Менее 80%,Столичный филиал,-0.08794506212971825,Средний,Не VoLTE,TABLET,100MB - 1GB,Ева Volte,Более 50 тыс. руб,Нет,Малый,25-34,45-54,98..99.5%,31-90 дней,2...5 Mbps,Менее 20%
iOS,ПД,8,98...99.5%,Более 15 дней,2023-09-25,1-5 часов,Муж,Прочее,До 40 руб,d. >90%,Тёплый приём - линейка 3.1,Прочее,Дальневосточный филиал,1.0,Низкий,Не VoLTE,NETWORK DEVICE,Нет,Ева Volte,До 10 тыс. руб.,Нет,Большой,55+,18-24,<98%,До 30 дней,5...10 Mbps,Более 80%
Прочее,СНГ,2,Прочее,Нет,2024-03-17,Нет простоя,Не определен,5...20%,Более 40 руб,b. <80%,China,Более 80%,Северо-Западный филиал,0.027986982894794416,Низкий,Не VoLTE,USB MODEM,Нет,Ева Volte,До 10 тыс. руб.,Есть,Большой,45-54,25-34,Прочее,181-366 дней,<2 Mbps,20...80%
Прочее,Агентский конвергент,1,>99.5%,Нет,2024-11-23,Риск простоя,Муж,Более 20%,Более 40 руб,c. 80-90%,Без переплат - Линейка 1.1,Менее 80%,Дальневосточный филиал,-0.09121853087839031,Низкий,Не VoLTE,TABLET,100MB - 1GB,Ева МЛК,До 10 тыс. руб.,Нет,Большой,25-34,55+,Прочее,До 30 дней,Прочее,Прочее
Прочее,Внутрисетевые,16,98...99.5%,До 15 дней,2024-06-23,Более 24 часов,,Прочее,До 40 руб,b. <80%,Без переплат - Линейка 1.0,Более 80%,Центральный филиал,1.0,Высокий,До 80%,DATA CARD,Более 1GB,Ева МЛК,До 10 тыс. руб.,Есть,Средний,55+,55+,>99.5%,31-90 дней,Прочее,Более 80%
Прочее,Все включено,4,>99.5%,Более 15 дней,2023-04-17,5-24 часа,Не определен,Прочее,До 40 руб,a. <100 MB,Включайся! - Линейка 3.3 - Выбирай,Менее 80%,Столичный филиал,-0.017583415694178248,Средний,До 80%,NETWORK DEVICE,Нет,Ева Volte,10-25 тыс. руб.,Нет,Средний,55+,55+,Прочее,31-90 дней,Прочее,Менее 20%
Android,Внутрисетевые,9,98...99.5%,До 15 дней,2023-10-24,Нет простоя,Муж,Менее 5%,Нет переплат,b. <80%,Новая линейка ПД 2022,Прочее,Сибирский филиал,-0.09635368572150867,Высокий,Не VoLTE,ROUTER,100MB - 1GB,Ева+,Нет данных,Есть,Малый,55+,25-34,98..99.5%,31-90 дней,Прочее,Более 80%
Android,Включайся!,8,<98%,Более 15 дней,2024-04-16,1-5 часов,Не определен,Менее 5%,Более 40 руб,c. 80-90%,Умные устройства,Более 80%,Северо-Западный филиал,-0.005792932341754592,Средний,Более 80%,DATA CARD,100MB - 1GB,Ева МЛК,25-50 тыс. руб.,Нет,Малый,55+,18-24,Прочее,31-90 дней,2...5 Mbps,Прочее
iOS,Персональные,1,<98%,Нет,2024-06-26,Нет простоя,Не определен,5...20%,Нет переплат,a. <100 MB,Тарифные планы FMC - Объединяй 5.0,Прочее,Дальневосточный филиал,-0.0,Средний,До 80%,DATA CARD,До 100MB,Ева МЛК,10-25 тыс. руб.,Нет,Большой,18-24,25-34,>99.5%,Прочее,5...10 Mbps,20...80%
iOS,Прочие,8,<98%,Нет,2023-08-23,Нет простоя,Муж,Более 20%,До 40 руб,a. <100 MB,Без переплат - Линейка 1.0,Более 80%,Дальневосточный филиал,-0.07402864701745827,Средний,Не VoLTE,UNDEFINED,Более 1GB,Ева+,25-50 тыс. руб.,Есть,Средний,55+,55+,<98%,91-180 дней,Прочее,Менее 20%
Android,Прочие,5,98...99.5%,До 15 дней,2024-04-08,1-5 часов,Муж,Менее 5%,Нет переплат,b. <80%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Более 80%,Центральный филиал,-0.5733845846246334,Средний,До 80%,NETWORK DEVICE,До 100MB,Ева МЛК,До 10 тыс. руб.,Нет,Средний,55+,25-34,Прочее,Более 366 дней,>10 Mbps,Менее 20%
Прочее,ПД,1,98...99.5%,Более 15 дней,2024-09-09,Риск простоя,Жен,Прочее,Более 40 руб,b. <80%,Тарифные планы FMC - Объединяй 6.2,Более 80%,Столичный филиал,-0.43323763567657486,Низкий,Не VoLTE,LAPTOP,До 100MB,Ева Volte,Нет данных,Нет,Малый,55+,18-24,>99.5%,До 30 дней,5...10 Mbps,Прочее
Прочее,Агентский конвергент,7,>99.5%,Более 15 дней,2023-05-20,Нет простоя,Муж,Прочее,До 40 руб,c. 80-90%,Тарифные планы FMC - Объединяй 1.0,Прочее,Северо-Западный филиал,-0.38209438007380386,Средний,Не VoLTE,NETWORK DEVICE,До 100MB,Ева+,До 10 тыс. руб.,Нет,Большой,55+,25-34,>99.5%,До 30 дней,5...10 Mbps,Прочее
Android,Сэмплинг,15,98...99.5%,Нет,2023-04-18,Нет простоя,Не определен,Более 20%,Более 40 руб,b. <80%,Без переплат - Линейка 2.2,Прочее,Сибирский филиал,-0.24395503152692136,Средний,До 80%,LAPTOP,До 100MB,Ева Volte,До 10 тыс. руб.,Есть,Большой,55+,35-44,Прочее,Прочее,>10 Mbps,Менее 20%
iOS,Все включено,7,98...99.5%,Нет,2024-10-21,Нет простоя,Не определен,Прочее,Нет переплат,a. <100 MB,ТП Посекундный 2021,Более 80%,Дальневосточный филиал,0.11030938771404727,Средний,Более 80%,LAPTOP,Более 1GB,Ева МЛК,Нет данных,Нет,Средний,55+,55+,Прочее,Более 366 дней,Прочее,Менее 20%
Android,Персональные,1,>99.5%,Более 15 дней,2023-10-11,Нет простоя,Не определен,Прочее,Нет переплат,a. <100 MB,FWA Мобильный конвергент: Объединяй! Мобильный,Прочее,Северо-Западный филиал,0.05893026425495723,Высокий,Более 80%,SMART WATCH,100MB - 1GB,Ева МЛК,Более 50 тыс. руб,Есть,Средний,25-34,55+,>99.5%,31-90 дней,<2 Mbps,Прочее
iOS,Все включено,9,98...99.5%,Более 15 дней,2024-11-11,1-5 часов,Муж,5...20%,Нет переплат,c. 80-90%,Включайся! - Линейка 3.4.1 - Прочие ТП,Менее 80%,Поволжский филиал,-0.44611698986048914,Средний,Не VoLTE,TABLET,100MB - 1GB,Ева+,До 10 тыс. руб.,Есть,Малый,45-54,55+,Прочее,Прочее,>10 Mbps,Менее 20%
Прочее,СНГ,1,>99.5%,Более 15 дней,2023-04-30,Более 24 часов,Муж,5...20%,Более 40 руб,d. >90%,Тарифные планы FMC - Объединяй 6.1,Прочее,Сибирский филиал,0.18012000700569264,Высокий,Более 80%,ROUTER,До 100MB,Ева Volte,Более 50 тыс. руб,Нет,Средний,45-54,55+,Прочее,181-366 дней,2...5 Mbps,Прочее
Android,СНГ,12,Прочее,Нет,2023-12-09,1-5 часов,Жен,Прочее,До 40 руб,a. <100 MB,Тёплый приём - линейка 4.2,Более 80%,Северо-Западный филиал,1.0,Средний,Не VoLTE,NETWORK DEVICE,Более 1GB,Ева+,До 10 тыс. руб.,Есть,Средний,45-54,25-34,98..99.5%,До 30 дней,5...10 Mbps,Прочее
Android,Агентский конвергент,7,Прочее,До 15 дней,2024-03-25,5-24 часа,Не определен,Более 20%,До 40 руб,d. >90%,CVM: Персональный 4.0,Менее 80%,Кавказский филиал,0.0,Низкий,Не VoLTE,USB MODEM,Более 1GB,Ева МЛК,10-25 тыс. руб.,Есть,Средний,45-54,55+,Прочее,Прочее,Прочее,Менее 20%
Прочее,Персональные,9,>99.5%,Нет,2024-12-12,Более 24 часов,Жен,Более 20%,До 40 руб,c. 80-90%,Тарифные планы FMC - Объединяй 6.1,Менее 80%,Столичный филиал,-0.07625438625766483,Средний,Более 80%,SMART WATCH,100MB - 1GB,Ева МЛК,До 10 тыс. руб.,Есть,Средний,55+,55+,Прочее,До 30 дней,2...5 Mbps,Более 80%
Android,Сэмплинг,5,98...99.5%,Более 15 дней,2024-10-27,5-24 часа,,Более 20%,Нет переплат,c. 80-90%,Умные устройства,Более 80%,Кавказский филиал,-0.6600817422956348,Низкий,Не VoLTE,USB MODEM,Нет,Ева+,10-25 тыс. руб.,Нет,Малый,25-34,45-54,Прочее,Прочее,2...5 Mbps,Менее 20%
Android,Внутрисетевые,12,98...99.5%,До 15 дней,2023-10-17,1-5 часов,Не определен,5...20%,Нет переплат,d. >90%,Тарифные планы FMC - Объединяй 5.0,Прочее,Северо-Западный филиал,-0.18508956177968136,Низкий,Более 80%,PHONE,100MB - 1GB,Ева+,Более 50 тыс. руб,Нет,Малый,35-44,45-54,98..99.5%,До 30 дней,<2 Mbps,20...80%
Прочее,Сэмплинг,2,>99.5%,Нет,2024-11-16,1-5 часов,Жен,Прочее,До 40 руб,c. 80-90%,Тарифные планы FMC - Объединяй 1.0,Более 80%,Столичный филиал,0.41327058016529084,Низкий,Более 80%,PHONE,До 100MB,Ева Volte,Нет данных,Нет,Малый,25-34,55+,>99.5%,181-366 дней,Прочее,Прочее
Android,Персональные,18,Прочее,Более 15 дней,2024-02-20,Более 24 часов,Муж,Более 20%,До 40 руб,a. <100 MB,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Более 80%,Центральный филиал,-0.24114440139150808,Средний,До 80%,LAPTOP,100MB - 1GB,Ева МЛК,Нет данных,Нет,Средний,18-24,55+,>99.5%,91-180 дней,<2 Mbps,Прочее
Android,ПД,9,<98%,Более 15 дней,2023-12-27,Более 24 часов,Муж,5...20%,Более 40 руб,d. >90%,Без переплат - Линейка 1.0,Прочее,Кавказский филиал,-1.0,Средний,Не VoLTE,TABLET,Нет,Ева Volte,10-25 тыс. руб.,Нет,Малый,35-44,25-34,<98%,Более 366 дней,<2 Mbps,Менее 20%
Прочее,Без переплат,1,<98%,Более 15 дней,2024-02-06,Более 24 часов,Жен,Более 20%,Нет переплат,a. <100 MB,ВВ - 05.17 (S/M/S+/M+),Прочее,Сибирский филиал,0.1566225681667152,Средний,До 80%,ROUTER,100MB - 1GB,Ева Volte,Нет данных,Есть,Малый,45-54,55+,>99.5%,До 30 дней,<2 Mbps,Прочее
Android,Прочие,10,<98%,Нет,2023-10-09,Более 24 часов,Не определен,Более 20%,Нет переплат,a. <100 MB,Переходи на НОЛЬ,Менее 80%,Дальневосточный филиал,-0.28698879272258676,Средний,Не VoLTE,USB MODEM,До 100MB,Ева Volte,25-50 тыс. руб.,Нет,Малый,35-44,55+,>99.5%,Прочее,5...10 Mbps,Менее 20%
iOS,Все мобильные,14,98...99.5%,Более 15 дней,2023-05-21,Риск простоя,Жен,Прочее,Нет переплат,a. <100 MB,Включайся! - Линейка 1,Прочее,Центральный филиал,-1.0,Низкий,До 80%,DATA CARD,Более 1GB,Ева Volte,Более 50 тыс. руб,Нет,Большой,55,55+,98..99.5%,91-180 дней,<2 Mbps,Прочее
Android,Агентский конвергент,14,>99.5%,До 15 дней,2024-03-09,1-5 часов,Не определен,Более 20%,Нет переплат,b. <80%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Более 80%,Северо-Западный филиал,-0.1877794081651378,Низкий,Более 80%,DATA CARD,Нет,Ева Volte,25-50 тыс. руб.,Есть,Малый,45-54,55+,98..99.5%,Более 366 дней,Прочее,Прочее
iOS,Все мобильные,7,Прочее,До 15 дней,2023-03-04,Более 24 часов,Жен,Прочее,Более 40 руб,d. >90%,Включайся! - Линейка 2 Огненный щит,Прочее,Дальневосточный филиал,1.0,Высокий,Не VoLTE,SMARTPHONE,Более 1GB,Ева+,25-50 тыс. руб.,Есть,Большой,55+,55+,<98%,Более 366 дней,5...10 Mbps,Более 80%
Прочее,ПД,12,Прочее,Более 15 дней,2024-03-22,Нет простоя,Муж,Менее 5%,До 40 руб,b. <80%,Без переплат - Линейка 3.0,Менее 80%,Центральный филиал,0.0,Высокий,Не VoLTE,UNDEFINED,Нет,Ева Volte,Нет данных,Есть,Малый,55+,55+,>99.5%,Более 366 дней,<2 Mbps,20...80%
Прочее,Все мобильные,6,98...99.5%,До 15 дней,2024-04-11,5-24 часа,Не определен,5...20%,До 40 руб,b. <80%,CVM: Персональный 2.0,Менее 80%,Дальневосточный филиал,-1.0,Низкий,До 80%,ROUTER,До 100MB,Ева МЛК,Нет данных,Нет,Большой,18-24,55+,Прочее,Прочее,>10 Mbps,20...80%
Android,СНГ,13,Прочее,Более 15 дней,2024-09-30,5-24 часа,Жен,5...20%,Нет переплат,a. <100 MB,Тарифные планы FMC - Непубличные Объединяй!,Менее 80%,Центральный филиал,-0.07720222266297436,Высокий,Более 80%,NETWORK DEVICE,До 100MB,Ева+,Более 50 тыс. руб,Есть,Малый,18-24,35-44,98..99.5%,181-366 дней,>10 Mbps,Менее 20%
Android,Внутрисетевые,8,<98%,До 15 дней,2024-08-07,1-5 часов,Муж,Прочее,Нет переплат,a. <100 MB,ВВ - Архивный (версия v.07.16),Менее 80%,Столичный филиал,-0.060055943438775225,Средний,До 80%,DATA CARD,Более 1GB,Ева Volte,Нет данных,Нет,Средний,55+,55+,98..99.5%,91-180 дней,2...5 Mbps,Прочее
Прочее,Внутрисетевые,2,>99.5%,До 15 дней,2024-08-11,Более 24 часов,Не определен,Менее 5%,Нет переплат,d. >90%,Управляй 2.0,Более 80%,Столичный филиал,0.05457478656031524,Высокий,Не VoLTE,DATA CARD,100MB - 1GB,Ева МЛК,До 10 тыс. руб.,Есть,Средний,55,55+,<98%,Прочее,2...5 Mbps,Прочее
Прочее,Прочие,10,>99.5%,Более 15 дней,2023-07-30,Нет простоя,Не определен,Прочее,Нет переплат,a. <100 MB,YOTA_Готовый тариф,Менее 80%,Северо-Западный филиал,1.0,Низкий,Не VoLTE,NETWORK DEVICE,Нет,Ева МЛК,10-25 тыс. руб.,Есть,Малый,45-54,45-54,>99.5%,91-180 дней,<2 Mbps,20...80%
Android,Агентский конвергент,6,>99.5%,До 15 дней,2023-11-29,Риск простоя,Жен,Прочее,До 40 руб,a. <100 MB,Тёплый приём - линейка 2.0,Более 80%,Дальневосточный филиал,-0.11883639429260918,Низкий,Не VoLTE,PHONE,До 100MB,Ева МЛК,Нет данных,Нет,,55+,55+,98..99.5%,31-90 дней,>10 Mbps,Прочее
Прочее,Включайся!,16,98...99.5%,Нет,2024-10-08,Нет простоя,Муж,Более 20%,Нет переплат,b. <80%,Без переплат - Линейка 2.3,Прочее,Центральный филиал,-0.12341098525501001,Низкий,Более 80%,PHONE,100MB - 1GB,Ева+,10-25 тыс. руб.,Есть,Большой,35-44,25-34,Прочее,31-90 дней,5...10 Mbps,20...80%
Android,Сэмплинг,10,98...99.5%,До 15 дней,2024-03-29,5-24 часа,Жен,Менее 5%,Нет переплат,c. 80-90%,Твой интернет - линейка 2019,Более 80%,Северо-Западный филиал,1.0,Низкий,Более 80%,LAPTOP,Нет,Ева МЛК,До 10 тыс. руб.,Нет,Большой,55+,55+,Прочее,31-90 дней,5...10 Mbps,Менее 20%
Прочее,Персональные,15,Прочее,Нет,2024-12-26,1-5 часов,Жен,Более 20%,Более 40 руб,d. >90%,CVM: Персональный 3.0,Прочее,Кавказский филиал,-0.4790315835968552,Низкий,Более 80%,LAPTOP,До 100MB,Ева МЛК,Более 50 тыс. руб,Нет,Малый,55+,55+,>99.5%,Прочее,2...5 Mbps,Прочее
Прочее,Включайся!,10,>99.5%,Нет,2024-12-24,Риск простоя,Муж,Прочее,До 40 руб,b. <80%,Новая линейка ПД 2022,Более 80%,Уральский филиал,0.19141363769270725,Высокий,До 80%,TABLET,Более 1GB,Ева МЛК,Нет данных,Есть,Большой,35-44,35-44,>99.5%,Прочее,<2 Mbps,Более 80%
Android,Включайся!,11,<98%,Нет,2024-10-21,5-24 часа,Муж,Прочее,Нет переплат,a. <100 MB,Включайся! - Линейка 3.1,Менее 80%,Дальневосточный филиал,-0.217273232899918,Высокий,Более 80%,DATA CARD,Более 1GB,Ева МЛК,Более 50 тыс. руб,Есть,Средний,45-54,35-44,<98%,До 30 дней,<2 Mbps,Прочее
Прочее,Без переплат,2,>99.5%,Более 15 дней,2024-10-06,Нет простоя,Муж,Прочее,Более 40 руб,b. <80%,YOTA_Готовый тариф,Менее 80%,Поволжский филиал,-0.0,Средний,До 80%,DATA CARD,До 100MB,Ева МЛК,Более 50 тыс. руб,Нет,Средний,45-54,45-54,<98%,Более 366 дней,>10 Mbps,Прочее
iOS,ПД,10,<98%,До 15 дней,2024-11-17,Риск простоя,Жен,Прочее,Более 40 руб,c. 80-90%,Включайся! - Линейка 2.1,Менее 80%,Поволжский филиал,0.012207032158499316,Низкий,До 80%,NETWORK DEVICE,Более 1GB,Ева Volte,Более 50 тыс. руб,Нет,Средний,35-44,25-34,Прочее,181-366 дней,5...10 Mbps,Более 80%
iOS,Прочие,12,>99.5%,Нет,2023-09-27,Нет простоя,Не определен,5...20%,Нет переплат,b. <80%,Тарифные планы FMC - Объединяй 6.2,Более 80%,Сибирский филиал,0.0,Высокий,Не VoLTE,ROUTER,Более 1GB,Ева МЛК,10-25 тыс. руб.,Нет,Большой,45-54,25-34,>99.5%,Более 366 дней,5...10 Mbps,20...80%
Прочее,Агентский конвергент,11,98...99.5%,Нет,2024-08-17,5-24 часа,Не определен,Более 20%,Более 40 руб,d. >90%,Линейка 'Для своих',Прочее,Северо-Западный филиал,0.0,Средний,Более 80%,LAPTOP,100MB - 1GB,Ева Volte,25-50 тыс. руб.,Есть,Малый,55+,55+,>99.5%,До 30 дней,5...10 Mbps,Более 80%
iOS,Все мобильные,15,>99.5%,До 15 дней,2024-02-28,Нет простоя,Муж,Менее 5%,Более 40 руб,a. <100 MB,PAYGO линейка 2018,Менее 80%,Кавказский филиал,-0.05417689063785131,Низкий,Более 80%,ROUTER,До 100MB,Ева Volte,Нет данных,Есть,Средний,35-44,35-44,98..99.5%,Прочее,<2 Mbps,20...80%
iOS,Включайся!,4,Прочее,До 15 дней,2023-06-01,Нет простоя,Муж,Менее 5%,Более 40 руб,d. >90%,Тёплый приём - линейка 4.0,Менее 80%,Уральский филиал,0.0,Средний,Не VoLTE,UNDEFINED,Более 1GB,Ева+,Более 50 тыс. руб,Есть,Малый,55+,55+,98..99.5%,31-90 дней,<2 Mbps,20...80%
iOS,Сэмплинг,5,<98%,Более 15 дней,2024-01-14,5-24 часа,Муж,5...20%,До 40 руб,a. <100 MB,CVM: Персональный 4.0,Прочее,Поволжский филиал,1.0,Низкий,Не VoLTE,SMART WATCH,До 100MB,Ева Volte,Нет данных,Нет,Средний,55+,25-34,<98%,Прочее,5...10 Mbps,20...80%
Android,Все включено,1,Прочее,Нет,2024-09-09,Нет простоя,Жен,5...20%,Нет переплат,b. <80%,Тёплый приём - линейка 3.0,Более 80%,Сибирский филиал,-1.0,Средний,Не VoLTE,SMARTPHONE,Нет,Ева+,До 10 тыс. руб.,Нет,Средний,55+,55+,>99.5%,181-366 дней,2...5 Mbps,Прочее
iOS,Включайся!,1,98...99.5%,До 15 дней,2024-06-11,5-24 часа,Не определен,5...20%,Более 40 руб,d. >90%,Прочее,Менее 80%,Дальневосточный филиал,0.17500892196563397,Низкий,До 80%,SMART WATCH,100MB - 1GB,Ева+,Нет данных,Есть,Большой,18-24,55+,Прочее,Прочее,>10 Mbps,Прочее
Android,СНГ,10,Прочее,Нет,2024-09-08,Нет простоя,Муж,Менее 5%,До 40 руб,c. 80-90%,Тёплый приём - линейка 7.0,Более 80%,Северо-Западный филиал,0.21386315173219383,Средний,Не VoLTE,LAPTOP,100MB - 1GB,Ева МЛК,Нет данных,Нет,Средний,35-44,18-24,Прочее,Более 366 дней,Прочее,Менее 20%
iOS,Прочие,4,>99.5%,Нет,2023-07-09,1-5 часов,Жен,Прочее,До 40 руб,c. 80-90%,Агентская линейка 2021,Менее 80%,Центральный филиал,-0.052388253874816736,Средний,Более 80%,PHONE,Более 1GB,Ева МЛК,Нет данных,Есть,Большой,18-24,55+,98..99.5%,Прочее,2...5 Mbps,20...80%
Прочее,Сэмплинг,13,98...99.5%,До 15 дней,2023-12-07,1-5 часов,Муж,Прочее,Более 40 руб,a. <100 MB,Включайся! - Линейка 2,Менее 80%,Северо-Западный филиал,-0.08928902223979839,Средний,Не VoLTE,SMART WATCH,100MB - 1GB,Ева Volte,Нет данных,Нет,Малый,55+,55+,<98%,До 30 дней,<2 Mbps,Более 80%
iOS,Включайся!,14,Прочее,До 15 дней,2023-09-07,Риск простоя,Муж,Прочее,До 40 руб,c. 80-90%,Твой интернет - линейка 2019,Менее 80%,Сибирский филиал,0.025798504376551352,Средний,До 80%,SMARTPHONE,Более 1GB,Ева Volte,10-25 тыс. руб.,Есть,Малый,55+,55+,>99.5%,Более 366 дней,5...10 Mbps,Прочее
Android,Сэмплинг,19,Прочее,Более 15 дней,2024-11-23,Более 24 часов,Муж,Менее 5%,До 40 руб,a. <100 MB,Тёплый приём - линейка 5.1,Более 80%,Поволжский филиал,-0.2338934987875555,Средний,Более 80%,TABLET,Нет,Ева+,Более 50 тыс. руб,Есть,Малый,25-34,55+,<98%,До 30 дней,5...10 Mbps,20...80%
Android,Внутрисетевые,5,<98%,Нет,2024-11-18,Нет простоя,Не определен,Прочее,Более 40 руб,a. <100 MB,Включайся! - Линейка 3.2,Прочее,Дальневосточный филиал,0.21088968808435268,Низкий,Не VoLTE,ROUTER,100MB - 1GB,Ева МЛК,До 10 тыс. руб.,Нет,Большой,45-54,55+,Прочее,До 30 дней,<2 Mbps,Прочее
Прочее,Все включено,11,>99.5%,До 15 дней,2024-04-01,Нет простоя,Муж,Менее 5%,До 40 руб,a. <100 MB,CVM,Прочее,Центральный филиал,0.017391634571172092,Низкий,Не VoLTE,ROUTER,Нет,Ева+,10-25 тыс. руб.,Нет,Средний,18-24,55+,>99.5%,Прочее,Прочее,Менее 20%
