NETWORK_SPD_LOWER_THAN_2000,NETWORK_SQI_VOICE,SURVEY_CITY_SIZE,PRODUCT_GROUP_TARIFF,NETWORK_4G_SHARE,SNAP_DATE_DAY,PROFILE_DEVICE_OS,FILIAL_ID,NETWORK_VOWIFI,SURVEY_ARPU_GROUP,PRODUCT_TARIFF_CHANGE,NETWORK_DURATION_2G,NPS,SURVEY_AGE_GROUP,NETWORK_VOLTE,PRODUCT_EVA_TYPE,PROFILE_KINOPOISK,SURVEY_GENDER,NETWORK_OVERLOAD,NETWORK_DURATION_4G,SURVEY_OPERATOR_AGE_GROUP,PROFILE_DEVICE_PRICE,NETWORK_SPEED_LTE,NETWORK_SQI_DATA,PRODUCT_NAME_LINE_TP,REGION_FILIAL,PROFILE_DEVICE_TYPE,PRODUCT_PEREPLATY,NETWORK_PROSTOI
Прочее,>99.5%,Средний,Агентский конвергент,d. >90%,2024-05-20,iOS,7.0,Нет,Средний,91-180 дней,5...20%,0.0,55+,Более 80%,Ева Volte,До 100MB,Муж,Нет,Более 80%,18-24,Более 50 тыс. руб,2...5 Mbps,>99.5%,Мегафон – Линейка 3.2,Столичный филиал,USB MODEM,Нет переплат,1-5 часов
Более 80%,98..99.5%,Малый,Сэмплинг,b. <80%,2023-04-21,iOS,15.0,Нет,Низкий,Прочее,Прочее,0.03756403503520131,55+,Более 80%,Ева Volte,Нет,nan,До 15 дней,Более 80%,45-54,25-50 тыс. руб.,Прочее,98...99.5%,Управляй! 3.0,Столичный филиал,LAPTOP,Нет переплат,Риск простоя
Менее 20%,>99.5%,Малый,Внутрисетевые,a. <100 MB,2023-01-06,Android,17.0,Есть,Высокий,31-90 дней,Прочее,-0.059618271608724516,18-24,Более 80%,Ева+,До 100MB,Не определен,До 15 дней,Прочее,25-34,10-25 тыс. руб.,<2 Mbps,>99.5%,Тарифные планы FMC - Объединяй 1.0,Дальневосточный филиал,TABLET,Более 40 руб,1-5 часов
Более 80%,<98%,Средний,СНГ,d. >90%,2024-11-25,Android,3.0,Есть,Средний,91-180 дней,5...20%,-0.36328698790635183,55+,Более 80%,Ева МЛК,Более 1GB,Не определен,Нет,Более 80%,45-54,Более 50 тыс. руб,5...10 Mbps,>99.5%,Умные устройства,Дальневосточный филиал,TABLET,Нет переплат,1-5 часов
Прочее,Прочее,Средний,Все включено,d. >90%,2024-06-14,Android,5.0,Нет,Высокий,До 30 дней,Более 20%,-0.17494903407342627,45-54,Более 80%,Ева+,До 100MB,Муж,Более 15 дней,Прочее,35-44,Более 50 тыс. руб,<2 Mbps,<98%,ВСР - Отмена,Уральский филиал,LAPTOP,Нет переплат,5-24 часа
20...80%,98..99.5%,Большой,Прочие,c. 80-90%,2024-12-19,iOS,10.0,Нет,Средний,31-90 дней,Прочее,0.397756480105725,55+,Не VoLTE,Ева Volte,Нет,Жен,До 15 дней,Менее 80%,55+,10-25 тыс. руб.,>10 Mbps,<98%,МегаФон - Линейка 3.1,Кавказский филиал,USB MODEM,До 40 руб,5-24 часа
20...80%,Прочее,Средний,Все включено,d. >90%,2023-06-08,iOS,5.0,Есть,Высокий,Более 366 дней,5...20%,-0.1753509247521368,45-54,Не VoLTE,Ева МЛК,До 100MB,Не определен,Нет,Более 80%,25-34,25-50 тыс. руб.,5...10 Mbps,Прочее,ВСР - Отмена,Центральный филиал,LAPTOP,До 40 руб,Нет простоя
Прочее,<98%,Малый,Персональные,a. <100 MB,2023-10-13,Прочее,7.0,Нет,Высокий,Более 366 дней,Прочее,0.30916081579670446,18-24,Более 80%,Ева+,Нет,Муж,Более 15 дней,Прочее,55+,10-25 тыс. руб.,>10 Mbps,98...99.5%,Включайся! - Линейка 3.4.1 - Прочие ТП,Столичный филиал,NETWORK DEVICE,Нет переплат,1-5 часов
Более 80%,<98%,Большой,Включайся!,c. 80-90%,2024-02-28,iOS,7.0,Есть,Низкий,91-180 дней,5...20%,-1.0,18-24,Более 80%,Ева+,До 100MB,Муж,Более 15 дней,Прочее,45-54,25-50 тыс. руб.,Прочее,98...99.5%,Без переплат - Линейка 1.4,Дальневосточный филиал,TABLET,До 40 руб,5-24 часа
Более 80%,98..99.5%,nan,ПД,a. <100 MB,2023-10-07,Прочее,14.0,Нет,Средний,До 30 дней,Прочее,0.8726989315674014,18-24,Более 80%,Ева МЛК,Более 1GB,Жен,Нет,Прочее,45-54,Нет данных,<2 Mbps,98...99.5%,Тёплый приём - линейка 2.1,Столичный филиал,USB MODEM,Нет переплат,Риск простоя
Более 80%,98..99.5%,Малый,Все включено,d. >90%,2024-04-22,Прочее,15.0,Есть,Высокий,31-90 дней,Более 20%,-0.017214068669416837,45-54,Более 80%,Ева+,Более 1GB,Не определен,Нет,Менее 80%,45-54,Нет данных,Прочее,<98%,Тёплый приём - линейка 4.0,Сибирский филиал,UNDEFINED,До 40 руб,5-24 часа
Менее 20%,Прочее,Большой,Агентский конвергент,d. >90%,2023-04-04,Android,5.0,Есть,Средний,До 30 дней,Менее 5%,-0.7532602897246001,45-54,Не VoLTE,Ева+,100MB - 1GB,Жен,До 15 дней,Менее 80%,55+,Более 50 тыс. руб,Прочее,>99.5%,FWA Мобильный конвергент: Объединяй! Мобильный,Центральный филиал,LAPTOP,До 40 руб,Нет простоя
Менее 20%,<98%,Малый,Без переплат,b. <80%,2024-06-13,Android,5.0,Есть,Низкий,181-366 дней,Менее 5%,-0.18180205742648173,55+,Более 80%,Ева Volte,До 100MB,Жен,Нет,Прочее,55+,10-25 тыс. руб.,<2 Mbps,<98%,Новая линейка ПД 2022,Северо-Западный филиал,DATA CARD,Нет переплат,1-5 часов
Более 80%,Прочее,Большой,СНГ,a. <100 MB,2023-10-05,Прочее,4.0,Есть,Низкий,Прочее,5...20%,0.14823380301348169,18-24,До 80%,Ева МЛК,До 100MB,Жен,До 15 дней,Прочее,55+,25-50 тыс. руб.,2...5 Mbps,>99.5%,Включайся! - Линейка 3.3 - Прочие ТП,Центральный филиал,TABLET,Более 40 руб,5-24 часа
Прочее,>99.5%,Малый,ПД,d. >90%,2023-06-09,Android,9.0,Есть,Средний,31-90 дней,5...20%,-1.0,25-34,Более 80%,Ева Volte,Нет,Не определен,Нет,Более 80%,55+,25-50 тыс. руб.,<2 Mbps,Прочее,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Сибирский филиал,UNDEFINED,Нет переплат,1-5 часов
Менее 20%,98..99.5%,Средний,Все включено,a. <100 MB,2024-03-24,Android,12.0,Нет,Низкий,До 30 дней,Прочее,0.24289344626082118,25-34,Не VoLTE,Ева МЛК,Нет,Муж,Более 15 дней,Более 80%,25-34,До 10 тыс. руб.,>10 Mbps,>99.5%,Тарифные планы FMC - Объединяй 3.0,Северо-Западный филиал,UNDEFINED,Нет переплат,5-24 часа
Прочее,>99.5%,Малый,Включайся!,d. >90%,2024-07-21,Android,16.0,Есть,Средний,31-90 дней,Прочее,1.0,45-54,До 80%,Ева Volte,Нет,Муж,До 15 дней,Менее 80%,55+,Более 50 тыс. руб,>10 Mbps,Прочее,ВВ - 05.17 (S/M/S+/M+),Центральный филиал,NETWORK DEVICE,До 40 руб,Риск простоя
Прочее,Прочее,Большой,Все включено,c. 80-90%,2023-10-05,Прочее,8.0,Есть,Высокий,31-90 дней,5...20%,0.13695360916083732,18-24,До 80%,Ева+,Более 1GB,Муж,Нет,Более 80%,55+,До 10 тыс. руб.,5...10 Mbps,<98%,Включайся! - Линейка 2.2,Дальневосточный филиал,LAPTOP,Нет переплат,Более 24 часов
Прочее,<98%,Малый,Без переплат,b. <80%,2024-07-02,Android,9.0,Нет,Средний,181-366 дней,5...20%,-0.08485818126631832,18-24,Не VoLTE,Ева Volte,100MB - 1GB,Муж,Более 15 дней,Менее 80%,55+,10-25 тыс. руб.,5...10 Mbps,>99.5%,Включайся! - Линейка 2.1,Дальневосточный филиал,PHONE,Более 40 руб,Риск простоя
Менее 20%,Прочее,Малый,Без переплат,d. >90%,2023-02-18,Прочее,12.0,Есть,Средний,Более 366 дней,Прочее,-0.09139079997026636,25-34,Более 80%,Ева Volte,Нет,Муж,Более 15 дней,Менее 80%,45-54,10-25 тыс. руб.,2...5 Mbps,<98%,ВСР - Отмена,Уральский филиал,ROUTER,Более 40 руб,Риск простоя
20...80%,98..99.5%,Малый,Внутрисетевые,d. >90%,2024-07-08,Прочее,7.0,Есть,Средний,91-180 дней,Прочее,0.16175428560768865,55+,Не VoLTE,Ева Volte,Более 1GB,Муж,Нет,Прочее,55+,25-50 тыс. руб.,Прочее,<98%,Без переплат - Линейка 1.1,Кавказский филиал,PHONE,До 40 руб,5-24 часа
20...80%,98..99.5%,Средний,Все включено,b. <80%,2023-04-07,iOS,4.0,Нет,Низкий,91-180 дней,Менее 5%,0.9894065904140316,55+,Не VoLTE,Ева Volte,Более 1GB,Жен,Нет,Более 80%,18-24,25-50 тыс. руб.,2...5 Mbps,>99.5%,Умные вещи,Уральский филиал,SMARTPHONE,Более 40 руб,Более 24 часов
Менее 20%,Прочее,Средний,Агентский конвергент,c. 80-90%,2024-12-13,Прочее,3.0,Нет,Средний,181-366 дней,Прочее,0.3008926564091576,25-34,До 80%,Ева Volte,До 100MB,Жен,До 15 дней,Более 80%,35-44,Более 50 тыс. руб,Прочее,>99.5%,CVM - 28 дней,Столичный филиал,DATA CARD,До 40 руб,5-24 часа
Более 80%,<98%,Малый,ПД,b. <80%,2024-01-04,Android,1.0,Есть,Низкий,91-180 дней,5...20%,0.011427653746195999,55+,Не VoLTE,Ева Volte,100MB - 1GB,Жен,Нет,Менее 80%,55+,До 10 тыс. руб.,5...10 Mbps,>99.5%,Тарифные планы FMC - Объединяй 5.0,Северо-Западный филиал,UNDEFINED,Нет переплат,Риск простоя
Более 80%,98..99.5%,Малый,Сэмплинг,d. >90%,2024-08-09,Android,7.0,Нет,Низкий,Прочее,Прочее,-1.0,35-44,До 80%,Ева МЛК,Нет,Не определен,Нет,Прочее,35-44,25-50 тыс. руб.,>10 Mbps,<98%,LEGO_Включайся!;Тёплый приём Lego,Сибирский филиал,PHONE,До 40 руб,1-5 часов
Менее 20%,>99.5%,Большой,Без переплат,d. >90%,2024-03-02,Прочее,9.0,Есть,Средний,181-366 дней,Более 20%,0.2661437523868536,45-54,До 80%,Ева Volte,Нет,Муж,Более 15 дней,Прочее,45-54,Более 50 тыс. руб,2...5 Mbps,98...99.5%,PowerNET 2.0,Уральский филиал,DATA CARD,До 40 руб,1-5 часов
Прочее,Прочее,Большой,Прочие,b. <80%,2024-02-13,iOS,2.0,Есть,Средний,91-180 дней,Прочее,-0.14925278043084622,55+,Не VoLTE,Ева МЛК,Нет,Жен,Более 15 дней,Менее 80%,55+,25-50 тыс. руб.,5...10 Mbps,<98%,Тарифные планы FMC - Объединяй 1.0,Уральский филиал,DATA CARD,Нет переплат,5-24 часа
20...80%,<98%,Малый,СНГ,c. 80-90%,2024-06-10,Android,7.0,Есть,Средний,До 30 дней,Более 20%,1.0,18-24,Не VoLTE,Ева Volte,Более 1GB,Муж,До 15 дней,Прочее,55,10-25 тыс. руб.,2...5 Mbps,Прочее,Без переплат - Линейка 3.0,Кавказский филиал,NETWORK DEVICE,Более 40 руб,1-5 часов
20...80%,98..99.5%,Средний,Включайся!,b. <80%,2023-03-15,Прочее,10.0,Нет,Средний,31-90 дней,Менее 5%,-0.03896508969986944,55+,До 80%,Ева+,Нет,Жен,Нет,Более 80%,55+,10-25 тыс. руб.,5...10 Mbps,98...99.5%,Тарифные планы FMC - Объединяй 1.0,Кавказский филиал,LAPTOP,До 40 руб,1-5 часов
Более 80%,Прочее,Малый,Все включено,d. >90%,2024-09-08,Android,2.0,Нет,Низкий,До 30 дней,5...20%,-0.24750552269757714,35-44,Более 80%,Ева+,Нет,Не определен,Более 15 дней,Прочее,18-24,25-50 тыс. руб.,>10 Mbps,98...99.5%,Без переплат - Линейка 3.0,Сибирский филиал,UNDEFINED,До 40 руб,5-24 часа
Более 80%,Прочее,Большой,Все включено,d. >90%,2024-07-26,Android,13.0,Нет,Высокий,Прочее,Прочее,-0.09494484293477978,55+,До 80%,Ева Volte,Нет,Не определен,Нет,Прочее,45-54,Нет данных,>10 Mbps,>99.5%,Переходи на НОЛЬ,Уральский филиал,DATA CARD,Более 40 руб,1-5 часов
Прочее,Прочее,Малый,Прочие,c. 80-90%,2024-09-17,Прочее,3.0,Есть,Средний,91-180 дней,Прочее,-0.024985789265688042,18-24,Не VoLTE,Ева+,Более 1GB,Жен,Нет,Более 80%,25-34,Нет данных,<2 Mbps,Прочее,ТП Посекундный 2021,Дальневосточный филиал,NETWORK DEVICE,До 40 руб,Нет простоя
Прочее,<98%,Малый,Агентский конвергент,c. 80-90%,2024-07-18,Android,13.0,Нет,Высокий,Более 366 дней,Прочее,-0.05286864733078882,55+,Не VoLTE,Ева МЛК,Нет,Не определен,До 15 дней,Более 80%,45-54,Более 50 тыс. руб,2...5 Mbps,<98%,Тарифные планы FMC - Объединяй 2.0,Кавказский филиал,DATA CARD,Более 40 руб,Более 24 часов
Прочее,<98%,Средний,Все включено,c. 80-90%,2024-04-05,Прочее,10.0,Есть,Низкий,Более 366 дней,Менее 5%,0.24948343032147752,55+,Более 80%,Ева Volte,100MB - 1GB,Не определен,Нет,Прочее,25-34,Более 50 тыс. руб,<2 Mbps,Прочее,CVM: Персональный 2.0,Сибирский филиал,NETWORK DEVICE,До 40 руб,Нет простоя
20...80%,98..99.5%,Малый,Агентский конвергент,a. <100 MB,2024-09-16,Прочее,12.0,Есть,Высокий,До 30 дней,Более 20%,-0.5132410178244383,55+,Не VoLTE,Ева Volte,До 100MB,Муж,До 15 дней,Прочее,45-54,До 10 тыс. руб.,Прочее,>99.5%,Тарифные планы FMC - Объединяй 6.1,Поволжский филиал,NETWORK DEVICE,Нет переплат,1-5 часов
Менее 20%,<98%,Малый,ПД,d. >90%,2024-09-23,Прочее,3.0,Нет,Низкий,31-90 дней,Прочее,-0.05136909917102493,45-54,Не VoLTE,Ева Volte,Нет,Муж,До 15 дней,Менее 80%,45-54,Нет данных,>10 Mbps,>99.5%,B2B пакеты Lego,Дальневосточный филиал,SMART WATCH,До 40 руб,1-5 часов
Более 80%,>99.5%,Малый,Включайся!,b. <80%,2023-07-20,Android,6.0,Нет,Средний,181-366 дней,Менее 5%,-0.7591143692674357,35-44,Более 80%,Ева Volte,Нет,Не определен,Более 15 дней,Более 80%,45-54,10-25 тыс. руб.,2...5 Mbps,Прочее,Нет,Поволжский филиал,TABLET,Нет переплат,1-5 часов
Более 80%,98..99.5%,Большой,Агентский конвергент,c. 80-90%,2023-10-18,Android,3.0,Нет,Низкий,Прочее,Более 20%,0.05045150795064071,55+,До 80%,Ева МЛК,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,25-50 тыс. руб.,>10 Mbps,>99.5%,Тарифные планы FMC - Непубличные Объединяй!,Центральный филиал,ROUTER,Более 40 руб,5-24 часа
20...80%,Прочее,Малый,Включайся!,a. <100 MB,2023-04-16,Android,2.0,Есть,Низкий,До 30 дней,Прочее,1.0,18-24,Не VoLTE,Ева Volte,Более 1GB,Жен,Нет,Менее 80%,55+,Нет данных,Прочее,98...99.5%,Тёплый приём - линейка 7.1,Центральный филиал,SMARTPHONE,Более 40 руб,Нет простоя
Прочее,98..99.5%,Средний,Включайся!,a. <100 MB,2023-12-13,Android,14.0,Есть,Низкий,Более 366 дней,5...20%,-0.30950964814460064,35-44,Более 80%,Ева+,Нет,Муж,Нет,Прочее,55+,Более 50 тыс. руб,2...5 Mbps,>99.5%,Без переплат - Линейка 2.0,Северо-Западный филиал,ROUTER,До 40 руб,Риск простоя
Более 80%,>99.5%,Средний,Прочие,d. >90%,2024-01-23,Android,15.0,Есть,Средний,Прочее,Более 20%,-0.3373481093357044,55+,Не VoLTE,Ева+,Более 1GB,Не определен,Более 15 дней,Менее 80%,55+,25-50 тыс. руб.,<2 Mbps,>99.5%,Моноинтернет от МегаФона,Северо-Западный филиал,PHONE,Более 40 руб,1-5 часов
Более 80%,98..99.5%,Малый,Сэмплинг,c. 80-90%,2024-01-03,Android,18.0,Есть,Высокий,181-366 дней,Менее 5%,0.026325897114694703,55+,Более 80%,Ева Volte,100MB - 1GB,Муж,Нет,Более 80%,25-34,До 10 тыс. руб.,>10 Mbps,<98%,Тарифные планы FMC - Объединяй 6.0,Уральский филиал,TABLET,Более 40 руб,Более 24 часов
Прочее,<98%,Средний,Без переплат,c. 80-90%,2024-07-12,iOS,19.0,Нет,Низкий,31-90 дней,Более 20%,0.16417964173720637,25-34,Более 80%,Ева Volte,Нет,Не определен,Нет,Менее 80%,25-34,10-25 тыс. руб.,<2 Mbps,Прочее,Тёплый приём - линейка 5.1,Северо-Западный филиал,NETWORK DEVICE,Более 40 руб,1-5 часов
20...80%,98..99.5%,Средний,Все мобильные,b. <80%,2024-10-23,Прочее,10.0,Нет,Низкий,31-90 дней,Менее 5%,0.007879356891019906,25-34,До 80%,Ева МЛК,Нет,Муж,До 15 дней,Более 80%,25-34,Более 50 тыс. руб,<2 Mbps,<98%,Включайся! - Линейка 2.2,Уральский филиал,LAPTOP,До 40 руб,Риск простоя
Прочее,>99.5%,Малый,Без переплат,c. 80-90%,2023-03-29,Android,17.0,Есть,Высокий,До 30 дней,Менее 5%,-0.0,35-44,До 80%,Ева+,100MB - 1GB,Муж,Нет,Более 80%,55+,Нет данных,<2 Mbps,>99.5%,YOTA_Готовый тариф,Уральский филиал,ROUTER,Нет переплат,1-5 часов
20...80%,Прочее,Средний,ПД,c. 80-90%,2024-10-21,Прочее,17.0,Есть,Средний,181-366 дней,Прочее,-1.0,45-54,Более 80%,Ева МЛК,Нет,Жен,Более 15 дней,Более 80%,55+,Нет данных,2...5 Mbps,>99.5%,Включайся! - Линейка 3.4 - Прочие ТП,Кавказский филиал,SMART WATCH,Более 40 руб,1-5 часов
20...80%,Прочее,Малый,СНГ,a. <100 MB,2023-04-17,Прочее,19.0,Нет,Высокий,91-180 дней,5...20%,0.18775900385218652,45-54,До 80%,Ева Volte,До 100MB,Не определен,Нет,Менее 80%,25-34,10-25 тыс. руб.,>10 Mbps,Прочее,Без переплат - Линейка 2.0,Поволжский филиал,NETWORK DEVICE,Более 40 руб,Нет простоя
20...80%,Прочее,Большой,Без переплат,a. <100 MB,2024-01-19,iOS,4.0,Нет,Средний,91-180 дней,Менее 5%,0.004607731816681413,45-54,Не VoLTE,Ева Volte,100MB - 1GB,Муж,До 15 дней,Более 80%,25-34,10-25 тыс. руб.,<2 Mbps,Прочее,ТП Посекундный 2021,Северо-Западный филиал,PHONE,Нет переплат,1-5 часов
20...80%,>99.5%,Малый,Агентский конвергент,d. >90%,2023-10-30,Android,11.0,Нет,Высокий,31-90 дней,5...20%,0.05744969429241633,35-44,Не VoLTE,Ева Volte,До 100MB,Не определен,Нет,Менее 80%,35-44,Нет данных,5...10 Mbps,>99.5%,Тарифные планы FMC - Объединяй 1.0,Сибирский филиал,LAPTOP,Более 40 руб,Риск простоя
Прочее,<98%,Большой,Агентский конвергент,a. <100 MB,2023-06-04,Android,17.0,Нет,Средний,181-366 дней,Более 20%,0.0452342772935766,55+,Более 80%,Ева МЛК,Нет,Муж,Нет,Менее 80%,55+,10-25 тыс. руб.,Прочее,>99.5%,Без переплат - Линейка 1.1,Столичный филиал,ROUTER,Более 40 руб,Риск простоя
Менее 20%,Прочее,Большой,Все мобильные,b. <80%,2024-07-27,Прочее,10.0,Нет,Низкий,31-90 дней,Менее 5%,-0.2937421665096836,35-44,Не VoLTE,Ева+,До 100MB,Жен,Более 15 дней,Менее 80%,35-44,25-50 тыс. руб.,5...10 Mbps,98...99.5%,Тёплый приём - линейка 5.1,Центральный филиал,ROUTER,До 40 руб,Нет простоя
Более 80%,<98%,Большой,Включайся!,b. <80%,2024-12-14,Прочее,17.0,Есть,Высокий,Прочее,Прочее,0.0,55+,Более 80%,Ева Volte,До 100MB,Муж,Более 15 дней,Более 80%,55+,10-25 тыс. руб.,2...5 Mbps,<98%,Тёплый приём - линейка 3.1,Северо-Западный филиал,USB MODEM,Более 40 руб,1-5 часов
20...80%,<98%,Большой,Прочие,a. <100 MB,2024-06-27,Android,12.0,Есть,Низкий,91-180 дней,Более 20%,-0.32066783968696977,25-34,До 80%,Ева+,Более 1GB,Не определен,Нет,Прочее,55+,Нет данных,>10 Mbps,98...99.5%,Тёплый приём - линейка 3.1,Дальневосточный филиал,NETWORK DEVICE,До 40 руб,Более 24 часов
Более 80%,>99.5%,Малый,СНГ,a. <100 MB,2023-03-03,Прочее,10.0,Нет,Низкий,31-90 дней,5...20%,-0.3549784677158151,35-44,До 80%,Ева+,До 100MB,Не определен,Нет,Более 80%,25-34,25-50 тыс. руб.,Прочее,<98%,Тёплый приём - линейка 2.0,Дальневосточный филиал,TABLET,Более 40 руб,Более 24 часов
Прочее,Прочее,Малый,Агентский конвергент,c. 80-90%,2024-09-18,iOS,10.0,Нет,Средний,91-180 дней,Менее 5%,0.08485072740171516,55+,Не VoLTE,Ева МЛК,Более 1GB,Муж,Нет,Менее 80%,25-34,10-25 тыс. руб.,2...5 Mbps,Прочее,МегаФон - Линейка 3.1,Дальневосточный филиал,UNDEFINED,До 40 руб,Нет простоя
Менее 20%,Прочее,Большой,Все включено,d. >90%,2024-08-16,iOS,6.0,Нет,Низкий,31-90 дней,5...20%,0.20081101984772945,35-44,Более 80%,Ева+,Более 1GB,Муж,До 15 дней,Прочее,55+,25-50 тыс. руб.,Прочее,<98%,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",Сибирский филиал,UNDEFINED,До 40 руб,Нет простоя
20...80%,>99.5%,Большой,СНГ,a. <100 MB,2023-09-17,Прочее,17.0,Есть,Низкий,Более 366 дней,5...20%,1.0,45-54,Более 80%,Ева+,Более 1GB,Не определен,Нет,Прочее,25-34,Более 50 тыс. руб,5...10 Mbps,<98%,PAYGO линейка 2018,Сибирский филиал,TABLET,До 40 руб,5-24 часа
20...80%,Прочее,Большой,Агентский конвергент,d. >90%,2023-11-08,Прочее,19.0,Нет,Низкий,31-90 дней,5...20%,-0.0211023852274121,25-34,Более 80%,Ева Volte,100MB - 1GB,Жен,До 15 дней,Менее 80%,18-24,10-25 тыс. руб.,5...10 Mbps,>99.5%,Агентская линейка 2021,Сибирский филиал,ROUTER,Нет переплат,Более 24 часов
Прочее,<98%,Средний,Все включено,a. <100 MB,2024-09-05,iOS,2.0,Нет,Высокий,Более 366 дней,Менее 5%,0.018675375641702248,35-44,Не VoLTE,Ева МЛК,100MB - 1GB,Жен,Нет,Прочее,45-54,25-50 тыс. руб.,>10 Mbps,>99.5%,Тарифные планы FMC - Непубличные Объединяй!,Уральский филиал,ROUTER,Нет переплат,1-5 часов
Прочее,98..99.5%,Средний,Все мобильные,a. <100 MB,2023-01-28,iOS,4.0,Нет,Средний,91-180 дней,Менее 5%,0.5657764902400467,35-44,До 80%,Ева Volte,100MB - 1GB,Муж,Нет,Прочее,55+,10-25 тыс. руб.,Прочее,>99.5%,Агентская линейка 2021,Сибирский филиал,USB MODEM,Более 40 руб,5-24 часа
20...80%,98..99.5%,Большой,Все включено,c. 80-90%,2024-06-23,Прочее,18.0,Нет,Низкий,181-366 дней,Более 20%,-0.0002096401542077607,25-34,До 80%,Ева Volte,Нет,nan,До 15 дней,Прочее,55+,10-25 тыс. руб.,>10 Mbps,<98%,Новая линейка ПД 2022,Столичный филиал,ROUTER,Более 40 руб,Нет простоя
20...80%,>99.5%,Малый,Без переплат,c. 80-90%,2024-01-09,Android,4.0,Есть,Средний,181-366 дней,Менее 5%,0.1938025655401401,18-24,Не VoLTE,Ева+,До 100MB,Не определен,Нет,Более 80%,45-54,Нет данных,>10 Mbps,98...99.5%,PowerNET 2.0,Поволжский филиал,DATA CARD,До 40 руб,Более 24 часов
Более 80%,Прочее,Малый,Персональные,a. <100 MB,2024-03-15,Android,6.0,Есть,Средний,До 30 дней,Менее 5%,0.11772462067069601,45-54,Более 80%,Ева+,100MB - 1GB,Муж,До 15 дней,Более 80%,55+,Более 50 тыс. руб,Прочее,>99.5%,Нет,Поволжский филиал,NETWORK DEVICE,Более 40 руб,Риск простоя
20...80%,Прочее,Большой,Включайся!,c. 80-90%,2024-09-30,iOS,14.0,Нет,Низкий,Прочее,5...20%,-0.1673313368170517,55+,До 80%,Ева МЛК,Нет,Жен,До 15 дней,Более 80%,55+,До 10 тыс. руб.,Прочее,98...99.5%,Агентская линейка 2021,Столичный филиал,LAPTOP,Нет переплат,Риск простоя
Прочее,98..99.5%,Большой,Включайся!,d. >90%,2023-04-26,Прочее,7.0,Нет,Высокий,91-180 дней,Менее 5%,-0.087695356695758,18-24,До 80%,Ева Volte,Нет,Не определен,Нет,Прочее,55+,Нет данных,5...10 Mbps,<98%,Тарифные планы FMC - Объединяй 1.0,Дальневосточный филиал,SMART WATCH,Нет переплат,1-5 часов
Прочее,98..99.5%,Малый,Внутрисетевые,a. <100 MB,2024-07-14,Прочее,12.0,Есть,Высокий,Прочее,Менее 5%,0.4052100250462211,35-44,Не VoLTE,Ева+,До 100MB,Жен,Нет,Менее 80%,55+,До 10 тыс. руб.,2...5 Mbps,Прочее,CVM,Кавказский филиал,SMARTPHONE,До 40 руб,Более 24 часов
20...80%,Прочее,Малый,Без переплат,d. >90%,2024-08-15,Прочее,2.0,Есть,Низкий,91-180 дней,Более 20%,-1.0,55+,Не VoLTE,Ева Volte,100MB - 1GB,Жен,До 15 дней,Прочее,25-34,25-50 тыс. руб.,>10 Mbps,<98%,Без переплат - Линейка 2.3,Кавказский филиал,USB MODEM,Более 40 руб,Нет простоя
Более 80%,Прочее,Большой,Агентский конвергент,c. 80-90%,2023-01-10,iOS,18.0,Есть,Высокий,Более 366 дней,5...20%,-0.19798735663493078,25-34,Более 80%,Ева+,Нет,Жен,Более 15 дней,Более 80%,35-44,25-50 тыс. руб.,Прочее,Прочее,YOTA_Готовый тариф,Поволжский филиал,NETWORK DEVICE,До 40 руб,Риск простоя
Прочее,Прочее,Малый,Включайся!,a. <100 MB,2024-09-11,Прочее,13.0,Нет,Высокий,До 30 дней,5...20%,-0.0,55+,До 80%,Ева Volte,100MB - 1GB,Муж,До 15 дней,Прочее,55+,Более 50 тыс. руб,2...5 Mbps,98...99.5%,Включайся! - Линейка 3.4.3 - Прочие ТП,Столичный филиал,LAPTOP,Более 40 руб,Более 24 часов
Более 80%,<98%,Большой,Агентский конвергент,d. >90%,2024-12-08,Android,13.0,Есть,Низкий,181-366 дней,Менее 5%,-0.16593161463297684,25-34,Не VoLTE,Ева+,Более 1GB,Не определен,Более 15 дней,Более 80%,55+,До 10 тыс. руб.,5...10 Mbps,<98%,Без переплат - Линейка 1.3,Уральский филиал,LAPTOP,До 40 руб,Нет простоя
Менее 20%,98..99.5%,Средний,Включайся!,b. <80%,2024-09-08,iOS,5.0,Нет,Низкий,181-366 дней,5...20%,1.0,35-44,Более 80%,Ева МЛК,100MB - 1GB,Жен,До 15 дней,Прочее,55+,Нет данных,Прочее,>99.5%,Тёплый приём - линейка 4.1,Уральский филиал,SMARTPHONE,До 40 руб,Более 24 часов
20...80%,>99.5%,Большой,Включайся!,c. 80-90%,2023-07-20,Android,7.0,Нет,Средний,91-180 дней,5...20%,0.0791530914948705,35-44,До 80%,Ева Volte,До 100MB,Жен,До 15 дней,Прочее,25-34,Нет данных,Прочее,>99.5%,Тарифные планы FMC - Объединяй 2.0,Дальневосточный филиал,PHONE,До 40 руб,Риск простоя
